id,categories,title,authors,published,abs
2607.06470v1,Battery-Simulation,Phonon-Mediated Thermal Transport in Nanocrystalline Silicon Using Machine-Learning Interatomic Potentials,Houssem Rezgui; Catalina Coll Benejam; Miguel Pruneda; Clivia M. Sotomayor Torres,2026-07-07T16:29:31Z,https://arxiv.org/abs/2607.06470v1
2607.06161v1,Battery-Simulation,On the capacitance gradient description in Heterodyne Kelvin Probe Force Microscopy,Hugo Valloire; Sylvain Clair; Christian Loppacher; Laurent Nony; Benjamin Grévin,2026-07-07T11:36:29Z,https://arxiv.org/abs/2607.06161v1
2607.06122v1,Battery-Simulation,Multiscale modelling of diffusion and retention of hydrogen in multi-occupancy traps in irradiated bcc metals,Daniel Mason; Sanjeet Kaur; Samanyu Tirumala; Prashanth Srinivasan; Ville Jantunen; Max Boleininger,2026-07-07T10:33:07Z,https://arxiv.org/abs/2607.06122v1
2607.06003v1,Battery-Simulation,Engineering Disordered Many-particle Plasmonic Nanoclusters for Wafer-scale Uniform and Giant Electromagnetic Field Enhancement,Minjun Kim; Vasanthan Devaraj; Hyeon-Seok Seo; Seongjae Eom; Jeong-Su Lee; Donghan Lee; Min Yong Jeon; Thomas Zentgraf; Jong-Min Lee,2026-07-07T08:46:34Z,https://arxiv.org/abs/2607.06003v1
2607.05631v1,Battery-Simulation,Electric Field Induced Multi-Space Topological Phase Transitions in Janus Monolayer MnBi2Se2Te2,Kefan Zhang; Jian Wu; Weiyi Pan,2026-07-06T20:45:17Z,https://arxiv.org/abs/2607.05631v1
2607.05298v1,Battery-Simulation,Phase-field modeling of elastically driven abnormal grain growth,Yazhuo Liu; Yin Zhang; Kunqing Ding; Yichen Yang; Alejandro Barrios; Xavier Maeder; Olivier Pierron; Xing Liu; Ting Zhu,2026-07-06T16:41:16Z,https://arxiv.org/abs/2607.05298v1
2607.05266v1,Battery-Simulation,A Distributional Framework for Generative Modeling of Molecular Crystals,Michael Kilgour; Alex Dong; Mark E. Tuckerman; Jutta Rogal,2026-07-06T16:16:47Z,https://arxiv.org/abs/2607.05266v1
2607.05142v1,Battery-Simulation,Torsional selection rule for the spin--orbit conversion of light,Edilberto O. Silva,2026-07-06T14:25:46Z,https://arxiv.org/abs/2607.05142v1
2607.04861v1,Battery-Simulation,"Different dielectric, magnetic, and magnetodielectric mechanisms in M-type BaFe12O19 hexaferrite regulated by doping Ga3+ and In3+ cations",Yang Yang; Run-Yu Lei; Jian-Ping Zhou; Xiao-Ming Chen,2026-07-06T09:34:17Z,https://arxiv.org/abs/2607.04861v1
2607.04817v1,Battery-Simulation,Glassy Dynamics of LiCl.6H2O Solution in Nanoporous Media,Armin Mozhdehei; Mohammad Nadim Kamar; Ronan Lefort; Alain Moréac; Arnaud Le Pottier; Agathe Belime; Denis Morineau,2026-07-06T08:50:21Z,https://arxiv.org/abs/2607.04817v1
