id,categories,title,authors,published,abs
2604.12979v1,Battery-Simulation,Evidence for Umklapp electron scattering emission from metal photocathodes,I-J. Shan; L. A. Angeloni; W. Andreas Schroeder,2026-04-14T17:12:46Z,https://arxiv.org/abs/2604.12979v1
2604.12764v1,Battery-Simulation,Exact demagnetisation field for periodic one-dimensional array of rectangular prisms,Frederik Laust Durhuus; Andrea Roberto Insinga; Rasmus Bjørk,2026-04-14T14:06:35Z,https://arxiv.org/abs/2604.12764v1
2604.12730v1,Battery-Simulation,Stress field modification near linear complexions increases the effective obstacle size and strengthening effect,Zhengyu Zhang; Daniel S. Gianola; Timothy J. Rupert,2026-04-14T13:45:08Z,https://arxiv.org/abs/2604.12730v1
2604.12670v1,Battery-Simulation,Role of diffusion-induced grain boundary migration during molten salt corrosion of a Ni-30Cr alloy,Konnor Walter; Jagadeesh Sure; Adrien Couet; Emmanuelle A. Marquis,2026-04-14T12:40:53Z,https://arxiv.org/abs/2604.12670v1
2604.12612v1,Battery-Simulation,Damage dose dependence of deuterium retention in high-temperature self-ion irradiated tungsten,Mikhail Zibrov; Thomas Schwarz-Selinger; Michael Klimenkov; Ute Jäntsch,2026-04-14T11:38:57Z,https://arxiv.org/abs/2604.12612v1
2604.12583v1,Battery-Simulation,Electrochemical Performance of Gold Monolayers for Lithium-Ion Batteries: A First Principles Study,Ajay Kumara; Pritam Samanta; Prakash Parida,2026-04-14T11:06:37Z,https://arxiv.org/abs/2604.12583v1
2604.12451v1,Battery-Simulation,Enhancing Laser Surface Texturing through Advanced Machine Learning Techniques,Christoph Zwahr; Frederic Schell; Tobias Steege; Andrés Fabián Lasagni,2026-04-14T08:39:27Z,https://arxiv.org/abs/2604.12451v1
2604.12198v1,Battery-Simulation,Towards grounded autonomous research: an end-to-end LLM mini research loop on published computational physics,Haonan Huang,2026-04-14T02:06:59Z,https://arxiv.org/abs/2604.12198v1
2604.12174v1,Battery-Simulation,Tunable Polariton Canalization in Natural van der Waals Oxide,H. Shiravi; W. Zheng; D. A. Rhodes; L. Balicas; H. D. Zhou; G. X. Ni,2026-04-14T01:04:58Z,https://arxiv.org/abs/2604.12174v1
2604.12142v1,Battery-Simulation,Fault-tolerant simulation of the electronic structure using Projector Augmented-Waves and Bloch orbitals,Rishabh Bhardwaj; Alexander Reed Muñoz; Travis E. Jones; John Golden,2026-04-13T23:46:58Z,https://arxiv.org/abs/2604.12142v1
2604.12140v1,Battery-Simulation,XANE(3): An E(3)-Equivariant Graph Neural Network for Accurate Prediction of XANES Spectra from Atomic Structures,Vitor F. Grizzi; Luke N. Pretzie; Jiayi Xu; Cong Liu,2026-04-13T23:42:14Z,https://arxiv.org/abs/2604.12140v1
2604.12101v1,Battery-Simulation,"Quantum Geometry, Fractionalization, and Provability Hierarchy: A Unified Framework for Strongly Correlated Systems",Zhanchun Li; Renwu Zhang,2026-04-13T22:21:28Z,https://arxiv.org/abs/2604.12101v1
2604.11957v1,Battery-Simulation,Agentic LLM Reasoning in a Self-Driving Laboratory for Air-Sensitive Lithium Halide Spinel Conductors,Yuxing Fei; Bernardus Rendy; Xiaochen Yang; Junhee Woo; Xu Huang; Chang Li; Shilong Wang; David Milsted; Yan Zeng; Gerbrand Ceder,2026-04-13T18:49:12Z,https://arxiv.org/abs/2604.11957v1
2604.11780v1,Battery-Simulation,Multiple spiking functionalities in annealing-optimized Ag/Hf$_{0.5}$Zr$_{0.5}$O$_2$-based memristive neurons,Nikita Zhidkov; Andrei Zenkevich; Anton Khanas,2026-04-13T17:45:33Z,https://arxiv.org/abs/2604.11780v1
2604.11425v1,Battery-Simulation,Investigating nucleation-driven phase transitions in neopentyl molecular crystals using infrared thermography and polarised light microscopy,Frederic Rendell-Bhatti; Vinzent G. Hana; Csongor Joba; David Boldrin; Donald A. MacLaren,2026-04-13T13:07:20Z,https://arxiv.org/abs/2604.11425v1
2604.11370v1,Battery-Simulation,Ru Alloying in Ni/Al Reactive Multilayers: Experimental Observations and Molecular Dynamics Simulations,Nensi Toncich; Ankit Yadav; Jan Fikar; Ralph Spolenak,2026-04-13T12:12:25Z,https://arxiv.org/abs/2604.11370v1
2604.11333v1,Battery-Simulation,ALD W-Doped SnO$_2$ TFTs for Indium-Free BEOL Electronics,Mansi Anil Patil; Devarshi Dhoble; Shivaram Kubakaddi; Mamta Raturi; Marco A Villena; Gaurav Thareja; Saurabh Lodha,2026-04-13T11:34:11Z,https://arxiv.org/abs/2604.11333v1
2604.11149v1,Battery-Simulation,Band Tail State Broadening in IGZO TFTs After pBTI-Induced Negative VT Shift Revealed via DC and 1/f Noise Measurements,R. Asanovski; P. Rinaudo; A. Chasin; Y. Zhao; H. F. W. Dekkers; M. J. van Setten; D. Matsubayashi; N. Rassoul; A. Belmonte; G. S. Kar; B. Kaczer; J. Franco,2026-04-13T08:11:30Z,https://arxiv.org/abs/2604.11149v1
2604.11139v1,Battery-Simulation,GPU acceleration of plane-wave density functional theory calculations in Abinit,Ioanna-Maria Lygatsika; Marc Sarraute; Lucas Baguet; Pierre Kestener; Marc Torrent,2026-04-13T07:54:17Z,https://arxiv.org/abs/2604.11139v1
2604.12810v1,Battery-Simulation,Heating Dynamics of Mesoscopic Electron Baths at High Magnetic Field,F. Zanichelli; A. Veillon; C. Piquard; A. Aassime; Y. Sato; A. Cavanna; Y. Jin; J. Folk; U. Gennser; A. Anthore; F. Pierre,2026-04-14T14:38:44Z,https://arxiv.org/abs/2604.12810v1
2604.12739v1,Battery-Simulation,Decoherence Resilience of the Non-Hermitian Skin Effect,Kunkun Wang; Lei Xiao; Stefano Longhi; Peng Xue,2026-04-14T13:53:51Z,https://arxiv.org/abs/2604.12739v1
2604.12347v1,Battery-Simulation,Noise-Enhanced Self-Healing Dynamics in Non-Hermitian Systems,Wuping Yang; H. Huang,2026-04-14T06:33:57Z,https://arxiv.org/abs/2604.12347v1
2604.11750v1,Battery-Simulation,Magnetic switching of self-hybridized exciton-polaritons in CrSBr photonic crystal slabs,T. D. Gorelkina; I. E. Kalantaevskii; A. N. Abramov; K. A. Gasnikova; P. A. Alekseev; X. Zeng; D. Huang; T. Jiang; I. V. Iorsh; I. Y. Chestnov; V. Kravtsov,2026-04-13T17:23:20Z,https://arxiv.org/abs/2604.11750v1
2604.11722v1,Battery-Simulation,First-principles study of dispersive readout in circuit QED,Angela Riva; Prakritish Gogoi; Nicolas Gheeraert; Serge Florens; Alex W. Chin; Alain Sarlette; Alexandru Petrescu,2026-04-13T16:57:57Z,https://arxiv.org/abs/2604.11722v1
2604.12877v1,Battery-Simulation,Fidelity of Machine Learned Potentials: Quantitative Assessment for Protonated Oxalate,Chen Qu; Paul L. Houston; Qi Yu; Apurba Nandi; Joel M. Bowman; Valerii Andreichev; Silvan Käser; Markus Meuwly,2026-04-14T15:27:48Z,https://arxiv.org/abs/2604.12877v1
2604.12861v1,Battery-Simulation,Atomistic Modeling of Methane and Carbon Dioxide Structure I Gas Hydrates Under Pressure: Guest Effects and Properties,Samuel Mathews; Xiaodan Zhu; Andr'e Guerra; Phillip Servio; Alejandro D. Rey,2026-04-14T15:11:52Z,https://arxiv.org/abs/2604.12861v1
2604.12699v1,Battery-Simulation,Transferable excited-state dynamics enable screening of fluorescent protein chromophores,Rhyan Barrett; Sophia Wesely; Julia Westermayr,2026-04-14T13:07:03Z,https://arxiv.org/abs/2604.12699v1
2604.12638v1,Battery-Simulation,Exact tunneling splittings of rotationally excited states from symmetrized path-integral molecular dynamics,Lea Zupan; Yu-Chen Wang; Jeremy O. Richardson,2026-04-14T12:08:37Z,https://arxiv.org/abs/2604.12638v1
2604.12607v1,Battery-Simulation,Hierarchical generative modeling for the design of multi-component systems,Rhyan Barrett; Robin Curth; Julia Westermayr,2026-04-14T11:32:08Z,https://arxiv.org/abs/2604.12607v1
2604.11532v1,Battery-Simulation,Tackling instabilities of quantum Krylov subspace methods: an analysis of the numerical and statistical errors,Maria Gabriela Jordão Oliveira; Karl Michael Ziems; Nina Glaser,2026-04-13T14:31:11Z,https://arxiv.org/abs/2604.11532v1
