id,categories,title,authors,published,abs
2605.30330v1,WorldModel-Diffusion,"When, why, and how do diffusion posterior samplers fail? A finite-sample lens",Benjamin A. Burns; Sara Fridovich-Keil,2026-05-28T17:57:46Z,https://arxiv.org/abs/2605.30330v1
2605.30190v1,WorldModel-Diffusion,Mean-Field Diffuser: Scaling Offline MARL to Thousands of Agents,Wenhao Li; Xiangfeng Wang; Bo Jin,2026-05-28T16:32:56Z,https://arxiv.org/abs/2605.30190v1
2605.30153v1,WorldModel-Diffusion,Diffusion Models Are Statistically Optimal for Learning Low-Dimensional Multi-Modal Distributions,Jingda Wu; Changxiao Cai,2026-05-28T16:13:44Z,https://arxiv.org/abs/2605.30153v1
2605.30116v1,WorldModel-Diffusion,SGMD: Score Gradient Matching Distillation for Few-Step Video Diffusion Distillation,Zhuguanyu Wu; Ruihao Gong; Yang Yong; Yushi Huang; Xiangyu Fan; Lei Yang; Dahua Lin; Xianglong Liu,2026-05-28T15:50:55Z,https://arxiv.org/abs/2605.30116v1
2605.30100v1,WorldModel-Diffusion,Chess-World-Model: A 10M-Game Benchmark for Exact State Tracking from Chess Move Sequences,Benjamin Walker; Terry Lyons,2026-05-28T15:43:31Z,https://arxiv.org/abs/2605.30100v1
2605.30056v1,WorldModel-Diffusion,Sample-Efficient Diffusion-based Reinforcement Learning with Critic Guidance,Shutong Ding; Zejia Zhong; Zhongyi Wang; Ke Hu; Bikang Pan; Jingya Wang; Ye Shi,2026-05-28T15:07:50Z,https://arxiv.org/abs/2605.30056v1
2605.30046v1,WorldModel-Diffusion,Masked Diffusion Modeling for Anomaly Detection,Lixing Zhang; Yuchen Liang; Liyan Xie,2026-05-28T14:59:17Z,https://arxiv.org/abs/2605.30046v1
2605.30038v1,WorldModel-Diffusion,Alignment-Guided Score Matching for Text-to-Image Alignment in Diffusion Models,Jaa-Yeon Lee; Yeobin Hong; Taesung Kwon; Jong Chul Ye,2026-05-28T14:57:01Z,https://arxiv.org/abs/2605.30038v1
2605.29937v1,WorldModel-Diffusion,Fisher-Preserving Guidance: Training-Free Manifold Constraints for Safe Diffusion Control,Hao Ren; Zetong Bi; Yiming Zeng; Le Zheng; Zhi Li; Zhaoliang Wan; Lu Qi; Hui Cheng,2026-05-28T13:47:31Z,https://arxiv.org/abs/2605.29937v1
2605.29932v1,WorldModel-Diffusion,Treatment-Conditioned Diffusion for Forecasting Neurodegenerative Disease Progression,Danylo Boiko; Viktoriia Mishkurova,2026-05-28T13:44:56Z,https://arxiv.org/abs/2605.29932v1
2605.29927v1,WorldModel-Diffusion,Does The Way You Plan Matter? An Empirical Study of Planning Representations for LLM Web Agents,Alejandra Zambrano; Sara Vera Marjanovic; Imene Kerboua; Xing Han Lù; Leila Kosseim,2026-05-28T13:39:49Z,https://arxiv.org/abs/2605.29927v1
2605.29920v1,WorldModel-Diffusion,Midpoint Generative Models,Daniil Shlenskii; Nikita Gushchin; Lev Novitskiy; Dmitry V. Dylov; Alexander Korotin,2026-05-28T13:31:53Z,https://arxiv.org/abs/2605.29920v1
2605.29906v1,WorldModel-Diffusion,"Plan, Don't Pose: Long Composite Motion Generation with Text-Aligned BFM",Nikolay Shvetsov; Maksim Bobrin; Nazar Buzun; Dmitry V. Dylov,2026-05-28T13:24:30Z,https://arxiv.org/abs/2605.29906v1
2605.29809v1,WorldModel-Diffusion,Cert-LAS: Toward Certified Model Ownership Verification for Text-to-Image Diffusion Models via Layer-Adaptive Smoothing,Leyi Qi; Yiming Li; Siyuan Liang; Zhengzhong Tu; Dacheng Tao,2026-05-28T11:54:52Z,https://arxiv.org/abs/2605.29809v1
2605.29713v1,WorldModel-Diffusion,The Little Book of Generative AI Foundations: An Intuitive Mathematical Primer,Tianhua Chen,2026-05-28T10:12:00Z,https://arxiv.org/abs/2605.29713v1
2605.29398v1,WorldModel-Diffusion,GDSD: Reinforcement Learning as Guided Denoiser Self-Distillation for Diffusion Language Models,Xiaohang Tang; Keyue Jiang; Che Liu; Qifang Zhao; Xiaoxiao Xu; Sangwoong Yoon; Ilija Bogunovic,2026-05-28T05:47:40Z,https://arxiv.org/abs/2605.29398v1
2605.29357v1,WorldModel-Diffusion,PassNet: Scaling Large Language Models for Graph Compiler Pass Generation,Yiqun Liu; Yingsheng Wu; Ruqi Yang; Enrong Zheng; Honglei Qiu; Sijun He; Tai Liang; Jingjing Wu; Yuhan Zhou; Yiwei Zhang; Dongyan Chen; Weihan Yi; Xinqi Li; Siqi Bao,2026-05-28T04:55:14Z,https://arxiv.org/abs/2605.29357v1
