id,categories,title,authors,published,abs
2606.12238v1,Battery-Simulation,Thermodynamically consistent phase field model for hydrogen-assisted cracking,G. F. Bouobda-Moladje; A. Ruffini; Y. Le Bouar; A. Finel,2026-06-10T15:43:09Z,https://arxiv.org/abs/2606.12238v1
2606.12221v1,Battery-Simulation,Quantum dynamic simulation of triplet formation in an effective model of Y6 (BTP-4F),Isabel Creed; Lucy J. F. Hart; Pranay Venkatesh; Tom Ward; Jarvist Moore Frost,2026-06-10T15:32:33Z,https://arxiv.org/abs/2606.12221v1
2606.12150v1,Battery-Simulation,Tracking atomic-scale interdiffusion in immiscible bimetallic nanoparticles via four-dimensional electron tomography,Jisheng Xie; Dijin Jiang; Zhen Sun; Yiheng Dai; Zezhou Li; Yao Zhang; Jihan Zhou,2026-06-10T14:39:48Z,https://arxiv.org/abs/2606.12150v1
2606.12110v1,Battery-Simulation,Scalable Conformal MoSx Catalyst for Efficient Hydrogen Evolution at Industrial-Level Current Density in Alkaline Electrolyzers,Yong Zuo; Sebastiano Bellani; Meysoun Jabrane; Gabriele Saleh; Thi-Hong-Hanh Le; Michele Ferri; Davide Salusso; Zhanzhao Li; Valentina Mastronardi; Marilena I. Zappia; Manjunath Chatti; Mirko Prato; Silvia Dante; Francesco Bonaccorso; Yongsheng Han; Liberato Manna,2026-06-10T14:05:17Z,https://arxiv.org/abs/2606.12110v1
2606.12107v1,Battery-Simulation,Direct nanoscale observation of melting and solute redistribution in a hypoeutectic Al-Cu alloy with in situ STEM,Martin Hasenburger; Rostislav Daniel; Phillip Dumitraschkewitz; Thomas M. Kremmer; Matheus A. Tunes; Stefan Pogatscher,2026-06-10T14:02:24Z,https://arxiv.org/abs/2606.12107v1
2606.12090v1,Battery-Simulation,Effects of microstructural heterogeneity on the macroscopic spectrum of elastically accommodated grain-boundary sliding,Zhengxuan Li; John F. Rudge,2026-06-10T13:50:16Z,https://arxiv.org/abs/2606.12090v1
2606.12083v1,Battery-Simulation,"Multilayer Screening of Double and Conventional Perovskite Solar Cells Using SCAPS-1D and Machine Learning: Optimization of ETL, HTL, and Absorber for High-Efficiency Architectures",Neda Nasiri; Seyed Mahdi Mastoor; Amirhosein Ahmadkhan Kordbacheh,2026-06-10T13:47:21Z,https://arxiv.org/abs/2606.12083v1
2606.12062v1,Battery-Simulation,When and how particles are removed by drops,Abhinav Naga; Franziska Sabath; Doris Vollmer; Halim Kusumaatmaja,2026-06-10T13:29:15Z,https://arxiv.org/abs/2606.12062v1
2606.12029v1,Battery-Simulation,"In Situ Dynamics of the Microscopic Crystallographic Dehydration Pathway in a Model Channel Hydrate, Theophylline",Natalia Koniuch; Sang T. Pham; Mohsen Danaie; Fanny Costa; Zabeada Aslam; Stephanie Foster; Helen Blade; Les Hughes; Nicole Hondow; Rik Drummond-Brydson; Sean M. Collins; Andy P. Brown,2026-06-10T12:51:58Z,https://arxiv.org/abs/2606.12029v1
2606.11870v1,Battery-Simulation,Modelling magnetic material properties with uncertainty-aware neural networks,Clemens Wager; Heisam Moustafa; Alexander Kovacs; Qais Ali; Harald Oezelt; Hayate Yamano; Masao Yano; Noritsugu Sakuma; Hyuga Hosoi; Akihito Kinoshita; Tetsuya Shoji; Akira Kato; Thomas Schrefl,2026-06-10T09:47:21Z,https://arxiv.org/abs/2606.11870v1
2606.11849v1,Battery-Simulation,"Breakdown of the classical rupture theory and earthquake propagation in the ""forbidden"" super-Rayleigh range",Anna Pomyalov; Fabian Barras; Eran Bouchbinder,2026-06-10T09:26:31Z,https://arxiv.org/abs/2606.11849v1
2606.11485v1,Battery-Simulation,A Cryogenic Uniaxial Strain Cell for Quantum Devices,Bradley Lloyd; Davis Rash; Chandler Wilburn; Paul Kliewer; Meenakshi Singh,2026-06-09T22:19:25Z,https://arxiv.org/abs/2606.11485v1
2606.11427v1,Battery-Simulation,Topological Phase Transition in Mechanical Honeycomb Lattice,Yi Chen; Xiaoning Liu; Gengkai Hu,2026-06-09T20:23:34Z,https://arxiv.org/abs/2606.11427v1
2606.11395v1,Battery-Simulation,Pulse-Duration Scaling of Ultrafast Laser-Induced Damage Threshold in Hybrid Gratings,Ziyao Su; Enam Chowdhury,2026-06-09T19:23:58Z,https://arxiv.org/abs/2606.11395v1
