id,categories,title,authors,published,abs
2606.20500v1,Battery-Simulation,A Defect-Free Model of Amorphous Silicon with Pristine Electronic Structure,Louise A. M. Rosset; Chinonso Ugwumadu; Stephen R. Elliott; David A. Drabold; Volker L. Deringer,2026-06-18T17:15:08Z,https://arxiv.org/abs/2606.20500v1
2606.20462v1,Battery-Simulation,Polymer-polymer interdiffusion: effects of entanglements and a polymeric source,Avraham Moriel; Howard A. Stone,2026-06-18T16:44:41Z,https://arxiv.org/abs/2606.20462v1
2606.20253v1,Battery-Simulation,On representation of macroscopic crack in periodic fine-scale discrete mechanical models,Jan Raisinger; Jan Eliáš,2026-06-18T14:04:22Z,https://arxiv.org/abs/2606.20253v1
2606.20116v1,Battery-Simulation,Hartree-Fock Limit for Energies in Solids,Jānis Užulis; Andris Gulans,2026-06-18T11:40:05Z,https://arxiv.org/abs/2606.20116v1
2606.20039v1,Battery-Simulation,Quantitative prediction of excitons in lattice-mismatched van der Waals heterostructures,Jakob Kjærulff Svaneborg; Mikkel Ohm Sauer; Amalie Helena Svaneborg; Kristian Sommer Thygesen,2026-06-18T10:15:11Z,https://arxiv.org/abs/2606.20039v1
2606.20340v1,Battery-Simulation,Phase locking nuclear spins in silicon with spin-orbit coupling,Habitamu Y. Walelign; Manas Ranjan Sahu; John M. Nichol,2026-06-18T15:10:03Z,https://arxiv.org/abs/2606.20340v1
2606.20294v1,Battery-Simulation,Multi-particle gates on driven one-dimensional paths: probing deep traps,Harsh Jain; Shankar Ghosh; Archishman Raju,2026-06-18T14:32:59Z,https://arxiv.org/abs/2606.20294v1
2606.20105v1,Battery-Simulation,"Can DFT-trained neural network potentials reproduce structure, solvation, and water-exchange properties in aqueous magnesium solutions?",Sebastian Falkner; Pablo Montero de Hijes; Christoph Dellago; Nadine Schwierz,2026-06-18T11:26:45Z,https://arxiv.org/abs/2606.20105v1
2606.19884v1,Battery-Simulation,Extraction of slip velocity in NEMD Couette flow systems using frictional dissipation,Hiroki Kusudo; Yasutaka Yamaguchi; Gota Kikugawa,2026-06-18T07:43:39Z,https://arxiv.org/abs/2606.19884v1
2606.20117v1,Battery-Simulation,"Autoregressive Modelling and Synthetic Generation of High-Fidelity, Statistically Equivalent 3D Microstructures for As-Manufactured Misalignments in Fiber-Reinforced Composites",Mohamad A. Raja; Clemens Dransfeld; Boyang Chen,2026-06-18T11:40:56Z,https://arxiv.org/abs/2606.20117v1
2606.20053v1,AI-Battery,Comparative Study of Neural Surrogate Architectures for Autoregressive Prediction of Internal Battery States,Gihyun Lee; Thorben Menne; Simon Olma; Jakob Hilgert; Sangyoung Park,2026-06-18T10:27:36Z,https://arxiv.org/abs/2606.20053v1
