id,categories,title,authors,published,abs
2608.24733v1,Battery-Simulation,Multiscale Modelling of Ferroelectrics using a Physics-Informed Neural Network Driven by Molecular Dynamics Data: Parameter Identification and Field Reconstruction,Xuejian Wang; Frank Wendler; Hikaru Auzuma; Michael Zaiser; Shuji Ogata; Ryo Kobayashi; Lei Zeng; Xingchen Tan,2026-08-25T15:41:52Z,https://arxiv.org/abs/2608.24733v1
2608.24679v1,Battery-Simulation,Thermal diffuse scattering in TEM: complex absorptive potentials compared to the frozen phonon model,Martin Hájek; Ján Rusz,2026-08-25T15:12:37Z,https://arxiv.org/abs/2608.24679v1
2608.24465v1,Battery-Simulation,Plastic Relaxation without Dislocations in $β$-Ga$_2$O$_3$ Heteroepitaxy: A Structural Peculiarity of Ga$_2$O$_3$ Polymorphs,I. Bertoni; A. Marzegalli; A. Ugolotti; R. He; F. Djurabekova; L. Miglio,2026-08-25T12:14:13Z,https://arxiv.org/abs/2608.24465v1
2608.24357v1,Battery-Simulation,A hidden low-temperature transformation pathway in compositionally complex materials,Yujiao Li; Elaheh Akbarnejad; Quentin Bizot; Aleksander Kostka; Natalia Pukhareva; Ridha Zerdoumi; Alan Savan; Matous Mrovec; Ralf Drautz; Baptiste Gault; Dierk Raabe; Alfred Ludwig,2026-08-25T10:11:24Z,https://arxiv.org/abs/2608.24357v1
2608.24234v1,Battery-Simulation,Influence of Interface Energy Anisotropy on the Solid-state Instability in Ni-based Superalloy: A Multiscale Study,Sourav Ghosh; Christian Brandl; Rajdip Mukherjee,2026-08-25T08:37:16Z,https://arxiv.org/abs/2608.24234v1
2608.23874v1,Battery-Simulation,Differential Learning for Robust Prediction of Thermal Stability with Application to Energetic Materials,Megan C. Davis; R. Seaton Ullberg; Jeremy N. Schroeder; Andrew H. Salij; Marc J. Cawkwell; Christopher J. Snyder; Ivana Matanovic; Wilton J. M. Kort-Kamp,2026-08-24T22:28:56Z,https://arxiv.org/abs/2608.23874v1
2608.23856v1,Battery-Simulation,Quantum encoding of structured light into in-plane topological spin textures,Pavel A. Vorobyev; Daichi Kurebayashi; Oleg A. Tretiakov,2026-08-24T21:58:01Z,https://arxiv.org/abs/2608.23856v1
2608.23815v1,Battery-Simulation,"Can Strain or Anion Interchange Make an Unstable Structure Stable? Energetics, Lattice Dynamics and Strain-Tunable Band Gaps of Lithium Chalcohalide Antiperovskites (Li$_{3}$$BA$) and their Anion Interchange Variants (Li$_{3}$$AB$)",Ismail A. Buliyaminu; Ehsan Gowdini; Phillip Duxbury; Jose L. Mendoza-Cortes,2026-08-24T20:46:46Z,https://arxiv.org/abs/2608.23815v1
2608.23741v1,Battery-Simulation,"Tunable Magnetic Frustration in the Cu-Ru-based Double Perovskite La$_{2-x}$Sm$_x$CuRuO$_6$ (x = 0, 1, 2) Oxides",Soumya Ghorai; Samir Rom; Irina Shamova; N. K. Karn; Tamanna Kumari; A. K. Shukla; Sanjoy Kr. Mahatha; O. Volkova; Nitesh Kumar Tanusri Saha Dasgupta; Setti Thirupathaiah,2026-08-24T18:28:56Z,https://arxiv.org/abs/2608.23741v1
2608.23434v1,Battery-Simulation,Comparison of mechanical and molecular measures of mobility during constant strain rate deformation of a PMMA glass,Benjamin Bending; M. D. Ediger,2026-08-24T16:08:50Z,https://arxiv.org/abs/2608.23434v1
2608.23245v1,Battery-Simulation,FDTBX - Computational Tools for Simulation of X-ray Fiber Diffraction Patterns from Atomic Coordinates,Pawel Sikorski,2026-08-24T13:31:59Z,https://arxiv.org/abs/2608.23245v1
2608.22933v1,Battery-Simulation,Generalizing Abell-Tersoff bond-order potential with explicit high-order many-body correlations for robust extrapolation of potential energy surfaces,Ikuma Kohata,2026-08-24T08:07:22Z,https://arxiv.org/abs/2608.22933v1
2608.22931v1,Battery-Simulation,Composition- and Ordering-Dependent Evolution of Simulated Kikuchi Patterns of Au-Ni Alloys,Camila A. Teixeira; Lukas Berners; Sandra Korte-Kerzel; Ulrich Kerzel,2026-08-24T08:06:16Z,https://arxiv.org/abs/2608.22931v1
2608.22783v1,Battery-Simulation,A Topological Magnonic Black-White Hole Crystal,D. Galvez-Poblete; R. M. Otxoa; A. S. Nunez; S. Allende,2026-08-24T04:12:30Z,https://arxiv.org/abs/2608.22783v1
2608.22776v1,Battery-Simulation,Mechanistic Phase-Field Modelling of Woven-Domain Formation in Ferroelectric Material,P G Kubendran Amos,2026-08-24T04:00:13Z,https://arxiv.org/abs/2608.22776v1
2608.24684v1,Battery-Simulation,Visualizing flat-band spatial renormalization in rhombohedral graphene superlattices,Peng-Cheng Pan; Shihao Zhang; Yang Zhang; Ji Huang; Ling-Hui Tong; Chen-Chen Xu; Yuan Tian; Li Zhang; Lijie Zhang; Yuanyuan Hu; Wen-Xiao Wang; Zhihui Qin; Long-Jing Yin,2026-08-25T15:15:15Z,https://arxiv.org/abs/2608.24684v1
