id,categories,title,authors,published,abs
2604.06048v1,Battery-Simulation,Large Language Model Assisted Discovery of Optimal Dopants for Enhanced Thermoelectric Performance in CoSb$_3$ Based Skutterudites,Yagnik Bandyopadhyay; Dylan Noel Serrao; Houlong L. Zhuang,2026-04-07T16:38:13Z,https://arxiv.org/abs/2604.06048v1
2604.06043v1,Battery-Simulation,"The BOS-Lig Dataset: Accurate Ligand Charges from a Consensus Approach for 66,810 Experimentally Synthesized Ligands",Roland G. St. Michel; Ryan J. Jang; Aaron G. Garrison; Ilia Kevlishvili; Heather J. Kulik,2026-04-07T16:36:20Z,https://arxiv.org/abs/2604.06043v1
2604.05951v1,Battery-Simulation,Lattice location of ion-implanted 6He in diamond,U. Wahl; J. G. Correia; A. Costa; B. Biesmans; G. Magchiels; S. M. Tunhuma; A. Lamelas; A. Vantomme; L. M. C. Pereira; the ISOLDE Collaboration,2026-04-07T14:45:17Z,https://arxiv.org/abs/2604.05951v1
2604.05883v1,Battery-Simulation,Additive-Induced Stabilization of the Energetic Landscape of PM6:Y12 Organic Solar Cells,Bekcy Joseph; Shivam Singh; Nathaniel P. Gallop; Fabian Eller; Alexander Ehm; Julius Brunner; Dietrich R. T. Zahn; Eva Herzig; Boris Rivkin; Yana Vaynzof,2026-04-07T13:48:36Z,https://arxiv.org/abs/2604.05883v1
2604.05837v1,Battery-Simulation,"Near 13% efficient semitransparent Cu(In,Ga)S2 solar cells with band gap of 1.6 eV on transparent back contact",Kulwinder Kaur; Arivazhagan Valluvar Oli; Michele Melchiorre; Wolfram Hempel; Wolfram Witte; Jan Keller; Susanne Siebentritt,2026-04-07T13:06:12Z,https://arxiv.org/abs/2604.05837v1
2604.05769v1,Battery-Simulation,ORION: Unifying Top-Down and Bottom-Up Chemical Space Sampling for a Universal Organic Force Field,Zherui Chen; Jiayu Zhang; Yuxuan Tian; Zhoulin Liu; Sining Dai; Yanghui Li; Cong Chen; Dingyuan Tang; Yajun Deng; Qingxia Liu,2026-04-07T12:11:06Z,https://arxiv.org/abs/2604.05769v1
2604.05725v1,Battery-Simulation,The effect of Nb and O on the martensitic transformation in the Ti-Nb-O alloys,Kristián Šalata; Dalibor Preisler; Josef Stráský; Jiří Kozlík; Lukáš Horák; Václav Holý,2026-04-07T11:29:54Z,https://arxiv.org/abs/2604.05725v1
2604.05608v1,Battery-Simulation,Indication of Stochastic Photothermal Dynamics around a Topological Defect in a Chiral Magnet,Dongxue Han; Asuka Nakamura; Takahiro Shimojima; Kosuke Karube; Yasujiro Taguchi; Yoshinori Tokura; Kyoko Ishizaka,2026-04-07T09:00:18Z,https://arxiv.org/abs/2604.05608v1
2604.05586v1,Battery-Simulation,A Physics-Informed Chemical Rule for Topological Materials Discovery,Xinyu Xu; Arif Ullah; Ming Yang,2026-04-07T08:29:21Z,https://arxiv.org/abs/2604.05586v1
2604.05574v1,Battery-Simulation,A coupled fully kinetic hydrogen transport and ductile phase-field fracture framework for modeling hydrogen embrittlement,Abdelrahman Hussein; Yann Charles; Jukka Kömi; Vahid Javaheri,2026-04-07T08:15:30Z,https://arxiv.org/abs/2604.05574v1
2604.05521v1,Battery-Simulation,Development of a 3D-CNN-based Prediction Model for Migration Barriers in Plasma-Wall Interactions,Seiki Saito; Keisuke Takeuchi; Hiroaki Nakamura; Yasuhiro Oda; Kazuo Hoshino; Yuki Homma; Shohei Yamoto; Yuki Uchida,2026-04-07T07:18:58Z,https://arxiv.org/abs/2604.05521v1
2604.05328v1,Battery-Simulation,Historical Foundation and Practical Guideline for Ferroelectric Switching Kinetic Studies,Yi Liang; Pat Kezer; John T. Heron,2026-04-07T01:57:50Z,https://arxiv.org/abs/2604.05328v1
2604.05319v1,Battery-Simulation,H-NESSi: The Hierarchical Non-Equilibrium Systems Simulation package,Thomas Blommel; Jeremija Kovačević; Jason Kaye; Emanuel Gull; Jakša Vučičević; Denis Golež,2026-04-07T01:44:19Z,https://arxiv.org/abs/2604.05319v1
2604.05264v1,Battery-Simulation,Stability and superstructural ordering of alkali-triel-pnictide clathrates A$_8$T$_{27}$Pn$_{19}$,Frank Cerasoli; Xiaochen Jin; Genevieve Amobi; Kirill Kovnir; Davide Donadio,2026-04-06T23:57:57Z,https://arxiv.org/abs/2604.05264v1
2604.05239v1,Battery-Simulation,Information Entropy is a General-Purpose Collective Variable for Enhanced Sampling,Xiangrui Li; Daniel Schwalbe-Koda,2026-04-06T23:02:27Z,https://arxiv.org/abs/2604.05239v1
2604.05073v1,Battery-Simulation,Experimental measurements and modeling of characteristic time scales in single iron particle ignition,Liulin Cen; Yong Qian; XiaoCheng Mi; Xingcai Lu,2026-04-06T18:19:12Z,https://arxiv.org/abs/2604.05073v1
2604.04880v1,Battery-Simulation,Multiferroicity in the Presence of Exchange Bias: The Case of Spinel CoMn2O4,P. Kumar; P. Das; B. K. Kuanr; S. Patnaik,2026-04-06T17:29:03Z,https://arxiv.org/abs/2604.04880v1
2604.06153v1,Battery-Simulation,Solving the Peierls-Boltzmann transport equation with matrix product states,Sangyeop Lee; Hirad Alipanah; Juan José Mendoza-Arenas,2026-04-07T17:53:10Z,https://arxiv.org/abs/2604.06153v1
2604.05705v1,Battery-Simulation,Bias controlled Interlayer Exchange Coupling,Nathan A. Walker; Alex D. Durie; Andrey Umerski,2026-04-07T11:05:35Z,https://arxiv.org/abs/2604.05705v1
2604.05588v1,Battery-Simulation,Robust quantized thermal conductance of Majorana floating edge bands in d-wave superconductors,Yanmiao Han; Yu-Hao Wan; Zhaoqin Cao; Rundong Zhao; Qing-Feng Sun,2026-04-07T08:30:41Z,https://arxiv.org/abs/2604.05588v1
2604.04856v1,Battery-Simulation,Modeling the non-Markovian Brownian motion of an optomechanical resonator,Aritra Ghosh; Malay Bandyopadhyay; M. Bhattacharya,2026-04-06T17:01:27Z,https://arxiv.org/abs/2604.04856v1
2604.04520v1,Battery-Simulation,Nonreciprocal current induced by dissipation in time-reversal symmetric systems,Takahiro Anan; Sota Kitamura; Takahiro Morimoto,2026-04-06T08:31:55Z,https://arxiv.org/abs/2604.04520v1
2604.04438v1,Battery-Simulation,Digital-Analog Quantum Simulation and Computing: A Perspective on Past and Future Developments,Lucas Lamata,2026-04-06T05:34:38Z,https://arxiv.org/abs/2604.04438v1
2604.06112v1,Battery-Simulation,Probing of Core Excitons in Solid NaF with Polarization-Selective Attosecond Time-Resolved Four-Wave Mixing Spectroscopy,Kevin Gulu Xiong; Rafael Quintero-Bermudez; Vincent Eggers; Hugo Laurell; Melody Wu; Stephen R. Leone,2026-04-07T17:21:50Z,https://arxiv.org/abs/2604.06112v1
2604.05778v1,Battery-Simulation,Effective Dynamics and Transition Pathways from Koopman-Inspired Neural Learning of Collective Variables,Alexander Sikorski; Luca Donati; Marcus Weber; Christof Schütte,2026-04-07T12:16:14Z,https://arxiv.org/abs/2604.05778v1
2604.05734v1,Battery-Simulation,Accessing the performance of CC2 for excited state dynamics: a benchmark study with pyrazine,Rui-Hao Bi; Chongxiao Zhao; Ruixin Sun; Wenjie Dou,2026-04-07T11:36:07Z,https://arxiv.org/abs/2604.05734v1
2604.05380v1,Battery-Simulation,"Molecular Excited States using Quantum Subspace Methods: Accuracy, Resource Reduction, and Error-Mitigated Hardware Implementation of q-sc-EOM",Srivathsan Poyyapakkam Sundar; Prince Frederick Kwao; Alexey Galda; Ayush Asthana,2026-04-07T03:26:35Z,https://arxiv.org/abs/2604.05380v1
2604.04909v1,Battery-Simulation,Weak Solutions to the Bloch Equations with Distant Dipolar Field,Louis-S. Bouchard,2026-04-06T17:53:40Z,https://arxiv.org/abs/2604.04909v1
2604.06081v1,Battery-Simulation,A machine learning framework for uncovering stochastic nonlinear dynamics from noisy data,Matteo Bosso; Giovanni Franzese; Kushal Swamy; Maarten Theulings; Alejandro M. Aragón; Farbod Alijani,2026-04-07T16:59:40Z,https://arxiv.org/abs/2604.06081v1
2604.05698v1,Battery-Simulation,Adaptive Material Fingerprinting for the fast discovery of polyconvex feature combinations in isotropic and anisotropic hyperelasticity,Moritz Flaschel; Hagen Holthusen; Denisa Martonová; Ellen Kuhl,2026-04-07T10:48:39Z,https://arxiv.org/abs/2604.05698v1
2604.04828v1,Battery-Simulation,Hybrid Fourier Neural Operator for Surrogate Modeling of Laser Processing with a Quantum-Circuit Mixer,Mateusz Papierz; Asel Sagingalieva; Alix Benoit; Toni Ivas; Elia Iseli; Alexey Melnikov,2026-04-06T16:28:49Z,https://arxiv.org/abs/2604.04828v1
2604.04453v1,Battery-Simulation,Generative modeling of granular flow on inclined planes using conditional flow matching,Xuyang Li; Rui Li; Teng Man; Yimin Lu,2026-04-06T05:59:54Z,https://arxiv.org/abs/2604.04453v1
2604.05429v1,AI-Battery,Bridging Natural Language and Microgrid Dynamics: A Context-Aware Simulator and Dataset,Tinko Sebastian Bartels; Ruixiang Wu; Xinyu Lu; Yikai Lu; Fanzeng Xia; Haoxiang Yang; Yue Chen; Tongxin Li,2026-04-07T04:52:51Z,https://arxiv.org/abs/2604.05429v1
2604.05243v1,AI-Battery,Exemplar Retrieval Without Overhypothesis Induction: Limits of Distributional Sequence Learning in Early Word Learning,Jon-Paul Cacioli,2026-04-06T23:11:25Z,https://arxiv.org/abs/2604.05243v1
2604.06155v1,WorldModel-Diffusion,Toward Consistent World Models with Multi-Token Prediction and Latent Semantic Enhancement,Qimin Zhong; Hao Liao; Haiming Qin; Mingyang Zhou; Rui Mao; Wei Chen; Naipeng Chao,2026-04-07T17:54:22Z,https://arxiv.org/abs/2604.06155v1
2604.06093v1,WorldModel-Diffusion,eVTOL Aircraft Energy Overhead Estimation under Conflict Resolution in High-Density Airspaces,Alex Zongo; Peng Wei,2026-04-07T17:07:39Z,https://arxiv.org/abs/2604.06093v1
2604.05751v1,WorldModel-Diffusion,Brain-to-Speech: Prosody Feature Engineering and Transformer-Based Reconstruction,Mohammed Salah Al-Radhi; Géza Németh; Andon Tchechmedjiev; Binbin Xu,2026-04-07T11:54:53Z,https://arxiv.org/abs/2604.05751v1
2604.05700v1,WorldModel-Diffusion,Optimal-Transport-Guided Functional Flow Matching for Turbulent Field Generation in Hilbert Space,Li Kunpeng; Wan Chenguang; Qu Zhisong; Lim Kyungtak; Virginie Grandgirard; Xavier Garbet; Yu Hua; Ong Yew Soon,2026-04-07T10:53:37Z,https://arxiv.org/abs/2604.05700v1
2604.05681v1,WorldModel-Diffusion,LUDOBENCH: Evaluating LLM Behavioural Decision-Making Through Spot-Based Board Game Scenarios in Ludo,Ojas Jain; Dhruv Kumar,2026-04-07T10:34:13Z,https://arxiv.org/abs/2604.05681v1
2604.05551v1,WorldModel-Diffusion,FastDiSS: Few-step Match Many-step Diffusion Language Model on Sequence-to-Sequence Generation--Full Version,Dat Nguyen-Cong; Tung Kieu; Hoang Thanh-Tung,2026-04-07T07:52:08Z,https://arxiv.org/abs/2604.05551v1
