id,categories,title,authors,published,abs
2609.08976v1,Battery-Simulation,"Water, vacancies, and competing exchange interactions in Prussian blue analogues: a neutron diffraction study of field and dehydration-driven magnetic transitions",N. S. Dhami; C. V. Colin; V. Nassif; O. Fabelo; T. Nait; A. Bleuzen; A. Bordage; V. Balédent,2026-09-08T16:22:05Z,https://arxiv.org/abs/2609.08976v1
2609.08931v1,Battery-Simulation,Edge-Dominated Twist Mechanics at van der Waals Interfaces,Yifan Shao; Zhaoheng Zhang; Hao Li; Oded Hod; Michael Urbakh; Quanshui Zheng; Xiang Gao; Deli Peng,2026-09-08T15:55:15Z,https://arxiv.org/abs/2609.08931v1
2609.08699v1,Battery-Simulation,Effective particle size governs structure and dynamics in rough hard-particle fluids,Nanqing Xiao; Zhen Zhang; Walter Kob; Yujie Wang,2026-09-08T13:00:21Z,https://arxiv.org/abs/2609.08699v1
2609.08597v1,Battery-Simulation,The Hidden Cost of Alloying: Disorder-Driven Transport Collapse in TMDs,Michele Pisarra; Clara Rebanal; Enrique Arévalo Rodríguez; Marc Meléndez; Elena Blundo; Giacomo Amadore; Jonathan J. Finley; Fabián Calleja; Marc G. Cuxart; Jesús Álvarez; Ma-ría José Capitán; Fernando J. Urbanos; Julia García Pérez; Ramón Bernardo Gavito; Daniel Granados; Ji Dai; Massimo Tallarida; Antonello Sindona; Fernando Martín; Ferry Prins; Iolanda Di Bernardo; Amadeo L. Vázquez de Parga,2026-09-08T11:32:11Z,https://arxiv.org/abs/2609.08597v1
2609.08498v1,Battery-Simulation,High-resolution angle-resolved photoemission spectroscopy with tunable magnetic field,Jairo Obando-Guevara; Huu-Thong Le; Emiliano Corcino Aracena; Sayan Singha; Kyungchan Lee; Yingdong Guan; Zhiqiang Mao; Dezhe Jin; Chaoxing Liu; Heike Pfau,2026-09-08T09:39:12Z,https://arxiv.org/abs/2609.08498v1
2609.08425v1,Battery-Simulation,"From London to Morse via Binnig, Quate, and Gerber",Sofia Alonso Perez; Matthew O. Blunt; Frederick Carlisle; Neil R. Champness; Janette L. Dunn; Matthew Edmondson; Rowan Evers; Connor Fields; Subhashis Gangopadhyay; James Hayton; Samuel P. Jarvis; Filipe Junqueira; Lev Kantorovich; Brian Kiraly; Natalio Krasnogor; Ioannis Lekkas; Morten Møller; Philip Moriarty; Chris Pakes; Emmanuelle Pauliac-Vaujour; Oliver Phillips; Adrian Radocea; Philipp Rahe; Mohammad Abdur Rashid; Hongqian Sang; Alex Saywell; Nikhil Seeja Sivakumar; Peter Sharp; Andrew Stannard; Julian Stirling; Adam Sweetman; Simon Taylor; Richard A. J. Woolley,2026-09-08T08:32:50Z,https://arxiv.org/abs/2609.08425v1
2609.08399v1,Battery-Simulation,MLIP Detective: Active Failure Mode Discovery Beyond Benchmark Scores for Machine-Learning Interatomic Potentials,Ryuhei Okuno; Nontawat Charoenphakdee; Kaoru Hisama; Yuta Tsuboi,2026-09-08T08:07:33Z,https://arxiv.org/abs/2609.08399v1
2609.08363v1,Battery-Simulation,A thermally grown SiO2 diffusion barrier enabling high-temperature investigation of Ag-Au-Pd-Pt thin films,Elaheh Akbarnejad; Aleksander Kostka; Advika Chesetti; Alan Savan; Georg Fritz; Kamen Kozhuharov; Matthias Karl Klein; Yujiao Li; Alfred Ludwig,2026-09-08T07:32:34Z,https://arxiv.org/abs/2609.08363v1
2609.08352v1,Battery-Simulation,Davydov Splitting Without a Davydov Pair and Highly Mobile Singlet Excitons in Perylene Red Microcrystals,Chris Rehhagen; Tolibjon Abdurakhmonov; Magnus Frank; Oliver Kühn; Stefan Lochbrunner,2026-09-08T07:22:31Z,https://arxiv.org/abs/2609.08352v1
2609.08334v1,Battery-Simulation,EBSDmagus: Managing Multi-Stage Dynamical Electron Backscatter Diffraction Simulations,Ulrich Kerzel; Lukas Berners; Sanddra Korte-Kerzel,2026-09-08T07:04:44Z,https://arxiv.org/abs/2609.08334v1
2609.08295v1,Battery-Simulation,Flexoelectric Polarization in Wrinkled Janus Transition-Metal Dichalcogenide Monolayers,Stefan Velja; Surender Kumar; Domenico Corona; Caterina Cocchi,2026-09-08T06:08:00Z,https://arxiv.org/abs/2609.08295v1
