id,categories,title,authors,published,abs
2608.02516v1,Battery-Simulation,Reduced Dark Current in Cd0.9Zn0.1Te Detector Arrays by Aluminium Oxide Passivation,Sudarshan Singh; Luc Montpetit; Eloïse Rahier; Mahmoud R. M. Atalla; Sebastian Koelling; Oussama Moutanabbir,2026-08-03T17:12:06Z,https://arxiv.org/abs/2608.02516v1
2608.02344v1,Battery-Simulation,Cryogenic focused-ion-beam microstructuring enabling quantitative $c$-axis transport measurements in Tl$_2$Ba$_2$CuO$_{6+δ}$,Ayanesh Maiti; Carsten Putzke; Linus Holeschovsky; Roemer D. H. Hinlopen; Chunyu Guo; Dorothee Herrmann; Seunghyun Khim; Berit H. Goodge; Andre W. Tyler; Michele S. Conroy; Andreas W. Rost; Andrew P. Mackenzie; Philip J. W. Moll,2026-08-03T14:58:02Z,https://arxiv.org/abs/2608.02344v1
2608.02301v1,Battery-Simulation,Equilibrium gigahertz acoustics reveals long-range confinement in liquids,Ievgeniia Chaban; Thomas Pezeril,2026-08-03T14:27:05Z,https://arxiv.org/abs/2608.02301v1
2608.02243v1,Battery-Simulation,Polaron-mediated metal-insulator transition and proton conduction in hydrogenated nickelate perovskites,Hang Ma; Tianxing Ma; Ying Liang,2026-08-03T13:55:07Z,https://arxiv.org/abs/2608.02243v1
2608.01961v1,Battery-Simulation,Resonantly-enhanced Raman response in graphene-capped bismuthene on SiC,Lukas Gehrig; Cedric Schmitt; Erica Fragomeni; Simone Sotgiu; Stefan Enzner; Tommaso Venanzi; Bing Liu; Kilian Strauß; Jonas Erhardt; Martin Kamp; Elena Stellino; Paolo Postorino; Jörg Schäfer; Simon Moser; Christoph Stampfer; Giorgio Sangiovanni; Ralph Claessen; Leonetta Baldassarre,2026-08-03T09:29:39Z,https://arxiv.org/abs/2608.01961v1
2608.01903v1,Battery-Simulation,Machine Learning Assisted Design of Complex and High Entropy Alloys by Hybrid HiPIMS/Pulsed-DC PVD Process for Low Carbon Energy Applications in Extreme Environments,Paul Foulquier; Ryma Haddad; Ali Mahmoud; Eric Monsifrot; Fanny Balbaud-Celerier; Jean-Philippe Poli; Frederic Schuster,2026-08-03T08:38:59Z,https://arxiv.org/abs/2608.01903v1
2608.01779v1,Battery-Simulation,Machine-Learning-Accelerated Metallene Stabilization from High-Throughput Sandwich Modeling,Mohammad Bagheri; Pekka Koskinen,2026-08-03T06:53:31Z,https://arxiv.org/abs/2608.01779v1
2608.01312v1,Battery-Simulation,All-Electric Topological Phase Transitions in Proximity-Coupled Bilayer MnBi2Te4 Heterostructures,Basavaraja G; Mukul Kabir,2026-08-02T15:27:22Z,https://arxiv.org/abs/2608.01312v1
2608.01266v1,Battery-Simulation,Why Ammoniated Lithium Borohydrides Liquefy and Resolidify?,Qian Wang; Zixin Xu; Ryuhei Sato; Hiroki Miyaoka; Takayuki Ichikawa; Eric Jianfeng Cheng; Shin-ichi Orimo; Fangqin Guo; Hao Li,2026-08-02T14:18:25Z,https://arxiv.org/abs/2608.01266v1
2608.01210v1,Battery-Simulation,EBSD and Subtle Crystallographic Differences - A Study of Resolving Interlayer Spacings in Nb-Ni and Nb-Co mu-phases,Lukas Berners; Nisa Ulumuddin; Annika Baum; Silvia Richter; Khalil Rejiba; Joshua Spille; Siyuan Zhang; Christina Scheu; Joachim Mayer; Benjamin Berkels; T. Ben Britton; Sandra Korte-Kerzel,2026-08-02T12:50:32Z,https://arxiv.org/abs/2608.01210v1
2608.02544v1,Battery-Simulation,Thermal Stability of Two-Dimensional Crystals with Extended OH Hydrogen-Bonded Chains,Alexander V. Savin,2026-08-03T17:31:40Z,https://arxiv.org/abs/2608.02544v1
2608.02513v1,Battery-Simulation,Strain engineering of transient exciton diffusion in WSe2 monolayers at cryogenic temperatures,Roberto Rosati; Mohammed Adel Aly Nouh; Robert Schmidt; Rudolf Bratschitsch; Ermin Malic,2026-08-03T17:10:29Z,https://arxiv.org/abs/2608.02513v1
2608.02431v1,Battery-Simulation,Discrete states and ballistic interference in quantum wires approaching macroscopic lengths,Henok Weldeyesus; Taras Patlatiuk; Christian P. Scheller; Amir Yacoby; Loren N. Pfeiffer; Ken W. West; Dominik M. Zumbühl,2026-08-03T16:10:42Z,https://arxiv.org/abs/2608.02431v1
2608.02260v1,Battery-Simulation,Valley-controlled chiral magnetism in transition metal dichalcogenide monolayers,Igor S. Krivenko; Vladimir N. Mantsevich; Dmitry S. Smirnov,2026-08-03T14:05:25Z,https://arxiv.org/abs/2608.02260v1
