id,categories,title,authors,published,abs
2607.19239v1,Battery-Simulation,Spatially resolved in-situ characterisation of competing martensitic transformation pathways during nanoscratch in 316H Stainless Steel,A. Kareer; R. W. Kerr; D. Craven; A. V. Davydok; C. Krywka; D. M. Collins,2026-07-21T16:08:55Z,https://arxiv.org/abs/2607.19239v1
2607.19198v1,Battery-Simulation,ATLAS: A Foundation Neural Sampler for Amorphous Materials,Mouyang Cheng; Denis Blessing; Botao Yu; Gerhard Neumann; Mingda Li; Carles Domingo-Enrich; Yuanqi Du,2026-07-21T15:31:49Z,https://arxiv.org/abs/2607.19198v1
2607.18963v1,Battery-Simulation,Stereochemical Vacuum Gap Explains Out-of-Plane Thermal Insulation in MXenes,O. Mateos-Lopez; J. G. Vilhena; Isaac Armstrong; Hendrik Heinz; Miguel Muñoz Rojo; Juan Carlos Cuevas,2026-07-21T10:54:50Z,https://arxiv.org/abs/2607.18963v1
2607.18925v1,Battery-Simulation,Phase equilibria in MnSb2Te4-GeSb2Te4 system and magnetic properties of Mn1-xGexSb2Te4 solid solutions,Fuad Safarov; Dunya Babanly; Jerome Robert; Elnur Orujlu; Elvin Ahmadov; Martin Bowen; Bohdan Kundys,2026-07-21T10:09:40Z,https://arxiv.org/abs/2607.18925v1
2607.18757v1,Battery-Simulation,Self-consistent GW theory for superconductivity in SrTiO3 models,Zhi-Hao Cui; John Sous; Andrew J. Millis; David R. Reichman,2026-07-21T06:27:12Z,https://arxiv.org/abs/2607.18757v1
2607.18750v1,Battery-Simulation,Alchemical thermodynamic integration for ab initio free-energy calculations in solutions,Liangrui Wei; Feng Zhang; Renata M. Wentzcovitch; Kai-Ming Ho; Yang Sun,2026-07-21T06:18:25Z,https://arxiv.org/abs/2607.18750v1
2607.18590v1,Battery-Simulation,Battery Material Comparisons Should Refocus on Diffusivity with Best Practices,CJ Sturgill; Roya Rajabi; Md Abdullah Al Muhit; Hans-Conrad zur Loye; Morgan Stefik,2026-07-20T23:54:35Z,https://arxiv.org/abs/2607.18590v1
2607.18472v1,Battery-Simulation,Vacancy Diffusion Across FeCrAl Alloy Composition Space for Accident-Tolerant Fuel Cladding,Mihai Pitigoi; Peter Hatton,2026-07-20T19:41:08Z,https://arxiv.org/abs/2607.18472v1
2607.18420v1,Battery-Simulation,Electron escape probability in high-efficiency photocathodes measured by reverse-injection photovoltage,S. A. Rozhkov; V. V. Bakin; D. A. Kustov; V. S. Khoroshilov; V. L. Alperovich; O. E. Tereshchenko; H. E. Scheibler,2026-07-20T18:09:59Z,https://arxiv.org/abs/2607.18420v1
2607.18403v1,Battery-Simulation,Towards a universal model for spin-orbit coupled Wannier Hamiltonians,Alexander C. Tyner,2026-07-20T18:00:35Z,https://arxiv.org/abs/2607.18403v1
2607.18182v1,Battery-Simulation,Machine Learning Potential-Driven Molecular Dynamics Simulations of Dehydrogenation in Pristine and Doped MgH$_2$,Bo Han; Jianchuan Wang; Rui Zhang; Martin Matas; Elias Vigl; Jing Tang; Yong Du; Christian Weiss; David Holec,2026-07-20T17:18:11Z,https://arxiv.org/abs/2607.18182v1
2607.18172v1,Battery-Simulation,Phase-field modeling of TiO2 nanocarving via reaction with hydrogen-bearing gas,Alireza Seifi; Sheikh Akbar; Yanzhou Ji,2026-07-20T17:12:37Z,https://arxiv.org/abs/2607.18172v1
2607.18129v1,Battery-Simulation,"Defect configuration, not nitrogen content, governs the mechanical integrity of nitrogen-doped graphene: a molecular dynamics study",Indranil Rudra; Jahid Emon; A. K. M. Monjur Morshed,2026-07-20T16:23:33Z,https://arxiv.org/abs/2607.18129v1
2607.18099v1,Battery-Simulation,Study of ordering in (MoCrTi)$_{100-x}$Al$_x$ refractory high-entropy alloys using machine learning interatomic potential,Jiyao Zhang; Klemens Lechner; Markus Maßwohl; Petra Spoerk-Erdely; David Holec,2026-07-20T16:01:06Z,https://arxiv.org/abs/2607.18099v1
2607.18085v1,Battery-Simulation,First-principles electronic transport properties of Ti and Ti-6Al-4V for modeling ultrashort-pulse laser ablation,Korbinian Hobmaier; Guillaume E. Allemand; Alberto Marmodoro; Matthieu J. Verstraete; Ján Minár; Heinz P. Huber; David Redka,2026-07-20T15:53:00Z,https://arxiv.org/abs/2607.18085v1
2607.18071v1,Battery-Simulation,DFT+U+V is equivalent to DFT+U with density-dependent hybridized projectors,Edward Linscott; Alberto Carta; Nicola Marzari,2026-07-20T15:38:06Z,https://arxiv.org/abs/2607.18071v1
2607.18059v1,Battery-Simulation,Foundry CMOS platform for multimodal quantum materials characterization,Sharad Kumar Yadav; Luca Nessi; Ondrej Dyck; Jinchen Wang; Bogdan Dryzhakov; Alex Melendez; Huan Zhao; Qian Song; Doha Amer; Cole Brabec; Saleh Alqazlan; Ruonan Han; Riccardo Comin; Stephen Jesse; Dirk Englund; Jawaher Almutlaq,2026-07-20T15:27:11Z,https://arxiv.org/abs/2607.18059v1
2607.17978v1,Battery-Simulation,RuNNer 2.0: A Software Suite for High-Dimensional Neural Network Potentials,Alexander L. M. Knoll; Moritz R. Schäfer; K. Nikolas Lausch; Moritz Gubler; Henry Wang; Richard Springborn; Redouan El Haouari; Alea Miako Liebetrau; Jonas A. Finkler; Emir Kocer; Marco Eckhoff; Gunnar Schmitz; Jörg Behler,2026-07-20T14:13:35Z,https://arxiv.org/abs/2607.17978v1
2607.17925v1,Battery-Simulation,Informatics Modeling of High Tg Polymers: Assessing the Role of Processing versus Chemistry,Qinrui Liu; Scott R. Broderick,2026-07-20T13:20:51Z,https://arxiv.org/abs/2607.17925v1
