id,categories,title,authors,published,abs
2609.26783v1,WorldModel-Diffusion,A Decentralized Partially Observable Team Decision Methodology with Delayed Information Sharing,Xiaoxing Ren; Thomas Parisini; Andreas A. Malikopoulos,2026-09-22T17:56:46Z,https://arxiv.org/abs/2609.26783v1
2609.26598v1,WorldModel-Diffusion,Unlocking Cross-Scenario Physical Layer Security: A Mixture-of-Experts Framework with Generative Diffusion Models,Xiao Tang; Tong Hui; Chao Shen; Yichen Wang; Qinghe Du; Li Sun; Zhu Han,2026-09-22T15:36:54Z,https://arxiv.org/abs/2609.26598v1
2609.26402v1,WorldModel-Diffusion,OMatG-flash: An All-Atom Flow Map with Reinforce Adjoint Matching for Scalable Materials Discovery,Thomas Egg; Harry Winston Sullivan; Ellad B. Tadmor; Stefano Martiniani,2026-09-22T13:36:33Z,https://arxiv.org/abs/2609.26402v1
2609.26392v1,WorldModel-Diffusion,Double Descent and Malign Overfitting in Diffusion Models,Raphaël Urfin; Tony Bonnaire; Giulio Biroli; Marc Mézard,2026-09-22T13:30:48Z,https://arxiv.org/abs/2609.26392v1
2609.25659v1,WorldModel-Diffusion,When Riemann flows with Wasserstein: Generative Modeling of Probability Distributions on Manifolds,Doron Haviv; Edward De Brouwer; Rishabh Anand; Rex Ying; Aïcha Bentaieb; Gabriele Scalia; Hector Corrada Bravo,2026-09-22T04:07:32Z,https://arxiv.org/abs/2609.25659v1
2609.25444v1,WorldModel-Diffusion,Mean Velocity Matching: Rethinking Generative Dynamics in Diffusion Models,Yunhong Zhang; Changjie Cao; Zhihua Zhang; Bingli Liu; Zongjie Cao; Zongyong Cui; Ying Yang,2026-09-21T21:54:51Z,https://arxiv.org/abs/2609.25444v1
2609.24840v1,WorldModel-Diffusion,PredActor: Predictive Action Diffusion for Steerable Onboard Humanoid Control,Lei Ye; Haibo Gao; Yitang Li; Peng Xu; Zetong Jing; Junhan Sun; Fanrong Dong; Ziqi Han; Xue Wang; Jianhua Sun; Cewu Lu; Hao Zhao; Liang Ding,2026-09-21T16:20:25Z,https://arxiv.org/abs/2609.24840v1
2609.24749v1,WorldModel-Diffusion,D-JEPA: A Decision-Aligned Latent World Model,Shuaijun Liu; Chengyu Wu; Qifu Wen; Feiyang You; Chenglong Zhang; Shuyang Hao; Xi Lin; Ningxin Su,2026-09-21T15:17:32Z,https://arxiv.org/abs/2609.24749v1
2609.26638v1,WorldModel-Diffusion,"Diffusion Drafts, AR Verifies: Accelerating Document OCR with Self-Speculative Decoding",Dohyun Kim; Sungjun Han; Hyungguk Kim; Yusik Kim; Jamin Shin; Paul Hongsuck Seo; Hongjoon Ahn,2026-09-22T16:11:47Z,https://arxiv.org/abs/2609.26638v1
2609.26623v1,WorldModel-Diffusion,A Data-Interventional Framework for Auditing Privacy and Fairness in Generative Medical Imaging,Mischa Dombrowski; Bernhard Kainz,2026-09-22T15:55:44Z,https://arxiv.org/abs/2609.26623v1
2609.26458v1,WorldModel-Diffusion,"Code Plans, Diffusion Renders: Open-Ended Generative World Modeling",Zixun Fang; Yawen Shao; Kai Zhu; Jie Xiao; Shihan Chen; Yu Liu; Xueyang Fu; Yang Cao; Wei Zhai; Zheng-Jun Zha,2026-09-22T14:12:15Z,https://arxiv.org/abs/2609.26458v1
2609.26443v1,WorldModel-Diffusion,Mammo-LIFE: Longitudinal Mammographic Imaging and Clinical Feature Enrichment for Post-Radiotherapy Outcome Prediction,Farnoush Bayatmakou; Maryam Hosseini; Reza Taleei; Arash Mohammadi,2026-09-22T14:04:07Z,https://arxiv.org/abs/2609.26443v1
2609.26425v1,WorldModel-Diffusion,QuantWM: Temporally Consistent 2-Bit KV Cache Quantization for World Models and Video Generation,Jiaqi Zhao; Xiaobin Hu; Bo Yin; Junpeng Jiang; Miao Zhang; Shuicheng Yan,2026-09-22T13:50:54Z,https://arxiv.org/abs/2609.26425v1
2609.26299v1,WorldModel-Diffusion,ForeDrive: Foresight-Guided End-to-End Autonomous Driving with a Planning-Relevant Latent World Model,Sinuo Wang; Zichong Gu; Yuhan Huang; Wenxin Wen; Xun Yang; Yiqing Zhang; Xingyu Zhang; Ningyu Che; Jie Ling; Qiankun Yu; Wei Liu; Jing Xu; Xinggang Wang,2026-09-22T12:11:18Z,https://arxiv.org/abs/2609.26299v1
2609.25884v1,WorldModel-Diffusion,LoRango: It Takes Two LoRAs to Unlock Hidden Behaviors in Diffusion Models,Jin Wei; Rundong Li; Ruihao Yang; Yikai Wang; Xiaoyuan Duan; Jianxiong Wu; Yanbo Wang; Chang Xu; Lingyun Zhang; Zhuyang Yu; Ping Chen; Jun Dai; Xiaoyan Sun,2026-09-22T08:50:30Z,https://arxiv.org/abs/2609.25884v1
2609.25775v1,WorldModel-Diffusion,TRACE: Trajectory Representation and Consistency Estimation for AI-Generated Video Detection,Huangsen Cao; Hongkang chu; Siyao Yu; Xin Ding; Jianfeng Dong; Yongwei Wang,2026-09-22T07:11:25Z,https://arxiv.org/abs/2609.25775v1
2609.25716v1,WorldModel-Diffusion,FoMo: Forking Moment in Generative Trajectory as a Perceptual Distance,Jaihyun Lew; Mingi Jung; Minjun Park; Wooseok Song; Sungroh Yoon,2026-09-22T05:44:57Z,https://arxiv.org/abs/2609.25716v1
2609.25652v1,WorldModel-Diffusion,GameDirector: Decoupling Gameplay Logic from Rendering for Player-Configurable Game World Models,Zijun Lin; Zhiyang Deng; Yuzhe Wu; Bihan Wen; Yeying Jin,2026-09-22T04:03:27Z,https://arxiv.org/abs/2609.25652v1
2609.25627v1,WorldModel-Diffusion,MachEmbodied-U0: Unified Understanding and Generation Model for Embodied Intelligence,Haoran Wen; Wenfu Wang; Kunsong Shi; Jingke Wang; Wancheng Feng; Yiren Zhang; Yueran Zhao; Xuancheng Zhang; Nanfei Ye; Xingru Chen; Zhaohong Sun; Chengmin Yang; Zikang Yu; Penghao Bi; Jia Shi; Yu Liu; Kun Zhan; Yan Xie,2026-09-22T03:36:36Z,https://arxiv.org/abs/2609.25627v1
2609.25611v1,WorldModel-Diffusion,Qwen3.8-Omni: Towards Native Omni-Modal Agents,Qwen Team,2026-09-22T03:07:59Z,https://arxiv.org/abs/2609.25611v1
2609.25538v1,WorldModel-Diffusion,Point Diffusion Mamba: Unified Diffusion-State-Space Modeling for Single-View 3D Reconstruction under Data Scarcity,Wei Zhou; Xinzhe Shi; Xingxing Hao; Xing Hao; Kang Li; Jinye Peng; Ying He,2026-09-22T01:11:24Z,https://arxiv.org/abs/2609.25538v1
2609.25319v1,WorldModel-Diffusion,Uncertainty-Aware 3D Residual Wavelet Diffusion for Ultra Low-Field MRI Super-Resolution,Rui W. Yeow; Millie Beament; Fred Dick; Raha Razin; Martina Bocchetta; David L. Thomas; Henry F. J. Tregidgo; Daniel C. Alexander; James H. Cole,2026-09-21T19:10:14Z,https://arxiv.org/abs/2609.25319v1
2609.25271v1,WorldModel-Diffusion,Beyond the Flat Seafloor: A Closed-Form Two-View Constraint to Aid Sidescan Sonar Reconstruction,Kalin Norman; Joshua G. Mangelson,2026-09-21T18:17:30Z,https://arxiv.org/abs/2609.25271v1
2609.25001v1,WorldModel-Diffusion,GameHorizon Suite: Multi-Horizon Data and Evaluation in Gameplay,Yiran Wang; Xingyilang Yin; Junfu Pu; Guangzhi Wang; Kaifeng Li; Mingyu Ouyang; Huiqiang Sun; Lingen Li; Cheng Cheng; Wangbo Yu; Honghao Chen; Xiaodong Cun; Chi-Man Pun; Zhiguo Cao; Ying Shan,2026-09-21T17:59:33Z,https://arxiv.org/abs/2609.25001v1
2609.24997v1,WorldModel-Diffusion,VideoGen-Agent: Reinforcing Video Generation Agents,Binxu Li; Haoyi Duan; Yuhui Zhang; Yaohui Zhang; Zihao Lin; Kaituo Feng; Suozhi Huang; Xiangyi Li; Yu Li; Chunyuan Li; Shilong Liu; Mengdi Wang,2026-09-21T17:58:56Z,https://arxiv.org/abs/2609.24997v1
2609.24984v1,WorldModel-Diffusion,WorldCrafter: Consistent Video World Model with Implicit 3D-aware Memory,Wangbo Yu; Kunhao Liu; Wenbo Hu; Shenghai Yuan; Chaoran Feng; Haiyang Zhou; Yukun Huang; Yiran Wang; Wang Zhao; Yingmin Luo; Ying Shan,2026-09-21T17:57:06Z,https://arxiv.org/abs/2609.24984v1
2609.24976v1,WorldModel-Diffusion,DexTacWAM: A Visuo-Tactile World-Action Model for Dexterous Manipulation,Haoran Yuan; Zekai Wang; Boning Shao; Haoran Lu; Trevor Darrell; Ismini Lourentzou; Wei Zhan,2026-09-21T17:55:24Z,https://arxiv.org/abs/2609.24976v1
2609.24919v1,WorldModel-Diffusion,PixelDiT2: Representation-Grounded Pixel Diffusion Transformers,Yongsheng Yu; Wei Xiong; Yichen Sheng; Shiqiu Liu; Jiebo Luo,2026-09-21T17:17:39Z,https://arxiv.org/abs/2609.24919v1
2609.24879v1,WorldModel-Diffusion,Generating Chest X-Ray Counterfactuals by Specialising Foundation Image Models,Xiaodan Xing; Rajat R. Rasal; Julia A. Meister; Sara Ghorayeb; Galvin Khara; Jessica Schrouff,2026-09-21T16:47:48Z,https://arxiv.org/abs/2609.24879v1
2609.24825v1,WorldModel-Diffusion,ZVeC: A Zero-Shot Framework for Instance-Level Vehicle Extraction and Generative Point Cloud Completion,Daisy Li; Kyle Gao; Quanyun Wu; Boris Jutzi; John S. Zelek; Jonathan Li,2026-09-21T16:13:21Z,https://arxiv.org/abs/2609.24825v1
2609.24788v1,WorldModel-Diffusion,Streaming Video Editing with Easy Adaptation,Yujia Hu; Jiajun Li; Zihao He; Songhua Liu,2026-09-21T15:50:01Z,https://arxiv.org/abs/2609.24788v1
2609.24769v1,WorldModel-Diffusion,Brain Metastases Segmentation for BraTS 2026 Task 1: A Multi-Architecture Comparison,Mahdi Islam; Musarrat Tabassum,2026-09-21T15:36:54Z,https://arxiv.org/abs/2609.24769v1
2609.24691v1,WorldModel-Diffusion,What Makes a Good Medical Image Tokenizer? Rethinking Reconstruction and Generation in Medical Image Tokenization,Niklas Bubeck; Yundi Zhang; Vasiliki Sideri-Lampretsa; Julian McGinnis; Jiancheng Yang; Daniel Rueckert; Jiazhen Pan,2026-09-21T14:44:27Z,https://arxiv.org/abs/2609.24691v1
2609.24682v2,WorldModel-Diffusion,"Think Like a World Model, Act Like a VLA: Distilling World-Model Representations into Compact Robot Policies",Trung Dao; Sankalp Yamsani; Jaden Park; Joohyung Kim; Yong Jae Lee,2026-09-21T14:41:08Z,https://arxiv.org/abs/2609.24682v2
2609.24626v1,WorldModel-Diffusion,Relationally Grounded Latent World Models for Autonomous Driving,Fabian Schmidt; Markus Enzweiler; Abhinav Valada,2026-09-21T14:10:06Z,https://arxiv.org/abs/2609.24626v1
2609.24526v2,WorldModel-Diffusion,ME-VLM: A Unified VLM for Embodied Cognition and Agent Coordination,Foundation Model; Li Auto Inc,2026-09-21T12:59:59Z,https://arxiv.org/abs/2609.24526v2
2609.24313v1,WorldModel-Diffusion,NeuIDO: Neural Intrinsic Dynamics Operator for Physics-Informed 4D World Models,Jiajing Lin; Xin Zhang; Jianhua Sun,2026-09-21T09:12:47Z,https://arxiv.org/abs/2609.24313v1
2609.24308v1,WorldModel-Diffusion,HappyWorld-Bench,Zhiqi Bai; Junai Cai; Yixin Chen; Jingrun Du; Tao Feng; Wei Gong; Siyuan Huang; Xiao Lin; Jiaheng Liu; Jun Luo; Yongzhe Lyu; Liya Ma; Zenan Meng; Lin Qu; Wenbo Su; Jiaming Wang; Qinghe Wang; Shaofei Wang; Yanghai Wang; Zequn Wang; Ziming Wang; Hu Wei; Jiangtao Wu; Ruiqi Wu; Jiaxin Xie; Yuchi Xu; Ze Xu; Chengting Yu; Liangyu Yuan; Gang Zeng; Yawen Zeng; Xingyao Zhang; Zizheng Zhang; Bo Zheng; Jiancheng Zhu; Song-Chun Zhu,2026-09-21T09:07:30Z,https://arxiv.org/abs/2609.24308v1
2609.24287v1,WorldModel-Diffusion,"Classifier-Free Guidance in Flow Matching: Non-Autonomous Potentials, Overshoot, and Posterior-Mean Control",Jishen Peng; Zheng Ma,2026-09-21T08:46:59Z,https://arxiv.org/abs/2609.24287v1
2609.24265v1,WorldModel-Diffusion,Unsupervised Brain Anomaly Detection as a Bayesian Inverse Problem with Diffusion Prior,Hugues Roy; Reuben Dorent; Ninon Burgos,2026-09-21T08:28:15Z,https://arxiv.org/abs/2609.24265v1
2609.24220v1,WorldModel-Diffusion,Document Retrieval-Aware Chunking (D-RAC): Universal Retrieval-Aware Ingestion of Enterprise Documents via PDF Normalization and Multimodal Markdown Conversion,Uday Allu; Abhivanth Sivaprakash; Pratik Singh; Aman Manocha,2026-09-21T07:38:12Z,https://arxiv.org/abs/2609.24220v1
2609.24208v1,WorldModel-Diffusion,CoaG: Cylinders on a Grid: Coarse 3D Layout Control for Video Generation,Zhangsihao Yang; Mengyi Shan,2026-09-21T07:28:10Z,https://arxiv.org/abs/2609.24208v1
