id,categories,title,authors,published,abs
2606.20500v1,Battery-Simulation,A Defect-Free Model of Amorphous Silicon with Pristine Electronic Structure,Louise A. M. Rosset; Chinonso Ugwumadu; Stephen R. Elliott; David A. Drabold; Volker L. Deringer,2026-06-18T17:15:08Z,https://arxiv.org/abs/2606.20500v1
2606.20462v1,Battery-Simulation,Polymer-polymer interdiffusion: effects of entanglements and a polymeric source,Avraham Moriel; Howard A. Stone,2026-06-18T16:44:41Z,https://arxiv.org/abs/2606.20462v1
2606.20253v1,Battery-Simulation,On representation of macroscopic crack in periodic fine-scale discrete mechanical models,Jan Raisinger; Jan Eliáš,2026-06-18T14:04:22Z,https://arxiv.org/abs/2606.20253v1
2606.20116v1,Battery-Simulation,Hartree-Fock Limit for Energies in Solids,Jānis Užulis; Andris Gulans,2026-06-18T11:40:05Z,https://arxiv.org/abs/2606.20116v1
2606.20039v1,Battery-Simulation,Quantitative prediction of excitons in lattice-mismatched van der Waals heterostructures,Jakob Kjærulff Svaneborg; Mikkel Ohm Sauer; Amalie Helena Svaneborg; Kristian Sommer Thygesen,2026-06-18T10:15:11Z,https://arxiv.org/abs/2606.20039v1
2606.19798v1,Battery-Simulation,MinSurf: resolving the atomic-scale stability landscape of mineral surfaces,Fengzijun Pan; Zhoulin Liu; Pingyang Zhang; Jiaqiu Xu; Zepeng Fan; Dawei Wang; Jianzhong Pei,2026-06-18T05:00:43Z,https://arxiv.org/abs/2606.19798v1
2606.19780v1,Battery-Simulation,Thickness-Dependent Interlayer Coupling and Semiconductor-to-Semimetal Crossover in Arsenene Multilayers,Jeonghwan Ahn; Seoung-Hun Kang; Jaron T. Krogel,2026-06-18T04:29:43Z,https://arxiv.org/abs/2606.19780v1
2606.19582v1,Battery-Simulation,Deposition and Growth of the AlCoCuFeNi High-Entropy Alloy Thin Film: Molecular Dynamics Simulation,Oleksandr I. Kushnerov; Valerij F. Bashev; Sergey I. Ryabtsev,2026-06-17T20:36:32Z,https://arxiv.org/abs/2606.19582v1
2606.19192v2,Battery-Simulation,Direct large-area observation of subsurface plastic activity in conditioned copper electrodes,Yinon Ashkenazy; Inna Popov; Victoria M. Bjelland; William L. Millar; Walter Wuensch,2026-06-17T15:34:11Z,https://arxiv.org/abs/2606.19192v2
2606.19152v1,Battery-Simulation,AdsMind: A Physics-Grounded Multi-Agent System for Self-Correcting Discovery of Adsorption Configurations on Heterogeneous Catalyst Surfaces,Zongmin Zhang; Yuyang Lou; Bowen Zhang; Junwu Chen; Ryo Kuroki; Xuan Vu Nguyen; Edvin Fako; Lixue Cheng; Philippe Schwaller,2026-06-17T14:57:16Z,https://arxiv.org/abs/2606.19152v1
