id,categories,title,authors,published,abs
2603.15582v1,Battery-Simulation,Benchmarking Machine Learning Approaches for Polarization Mapping in Ferroelectrics Using 4D-STEM,Matej Martinc; Goran Dražič; Anton Kokalj; Katarina Žiberna; Janina Roknić; Matic Poberžnik; Sašo Džeroski; Andreja Benčan Golob,2026-03-16T17:45:28Z,https://arxiv.org/abs/2603.15582v1
2603.15503v1,Battery-Simulation,High-Throughput Computational Exploration of MOFs for Short-Chain PFAS Removal,Mengru Zhang; Satyanarayana Bonakala; Taku Watanabe; Karim Hamzaoui; Guillaume Maurin,2026-03-16T16:32:20Z,https://arxiv.org/abs/2603.15503v1
2603.15142v1,Battery-Simulation,Monolithic integration of diverse crystalline thin films on diamond for near-junction thermal management,Tiancheng Zhao; Tianqi Bai; Yang He; Wenhui Xu; Xinxin Yu; Ruochen Shi; Zhenyu Qu; Jiaxin Liu; Rui Shen; Haodong Jiang; Yeliang Wang; Jiaxin Ding; Dongchen Sui; Shibin Zhang; Lei Zhu; Ailun Yi; Kai Huang; Min Zhou; Huarui Sun; Zhonghui Li; Peng Gao; Tiangui You; Xin Ou,2026-03-16T11:38:18Z,https://arxiv.org/abs/2603.15142v1
2603.15089v1,Battery-Simulation,Persistent incommensurate amorphous/crystalline meta-interfaces enable engineering-grade superlubricity,Wan Wang; Zijun Ding; Panpan Li; Wanying Ying; Hongxuan Li; Xiaohong Liu; Huidi Zhou; Jianmin Chen; Wengen Ouyang; Li Ji,2026-03-16T10:41:23Z,https://arxiv.org/abs/2603.15089v1
2603.14883v1,Battery-Simulation,Ductility and Brittle Fracture of Tungsten by Disconnection Pile-up on Twin Boundaries,Omar Hussein; Nicolas Bertin; Jakub Veverka; Tomas Oppelstrup; Jaime Marian; Fadi Abdeljawad; Shen J. Dillon; Timofey Frolov,2026-03-16T06:29:51Z,https://arxiv.org/abs/2603.14883v1
2603.14839v1,Battery-Simulation,Coupled Space Weathering: Nanophase Iron Formation by Micrometeoroid Impact and Solar Wind Sputtering,Ziyu Huang; Masatoshi Hirabayashi,2026-03-16T05:35:19Z,https://arxiv.org/abs/2603.14839v1
2603.14800v1,Battery-Simulation,Predicting electron-phonon coupling and electronic transport at the moiré scale in twisted bilayer graphene,David J. Abramovitch; Marco Bernardi,2026-03-16T03:58:54Z,https://arxiv.org/abs/2603.14800v1
2603.14766v1,Battery-Simulation,Interfacial exchange and magnetostatic coupling in a CoFeB/Thulium Iron Garnet heterostructure,Walid Al Misba; Jenae E. Shoup; Miela J. Gross; Dhritiman Bhattacharya; Kai Liu; Caroline A. Ross; Daniel B. Gopman; Jayasimha Atulasimha,2026-03-16T02:57:07Z,https://arxiv.org/abs/2603.14766v1
2603.14747v1,Battery-Simulation,Decoupling structural and bonding effects on ferroelectric switching in ScAlN via molecular dynamics under an applied electric field,Ryotaro Sahashi; Po-Yen Chen; Teruyasu Mizoguchi,2026-03-16T02:33:42Z,https://arxiv.org/abs/2603.14747v1
2603.14660v1,Battery-Simulation,A phase field model with arbitrary misorientation dependence of grain boundary energy,Philip Staublin; Yuri Mishin; Peter W. Voorhees,2026-03-15T23:32:50Z,https://arxiv.org/abs/2603.14660v1
