id,categories,title,authors,published,abs
2604.26887v1,Battery-Simulation,Resolving growth-induced off-stoichiometry in AgCrSe$_2$ single crystals,Felix Eder; Zeno Maesen; Yurii Skourski; Enrico Giannini; Oksana Zaharko; Fabian O. von Rohr,2026-04-29T16:56:33Z,https://arxiv.org/abs/2604.26887v1
2604.26718v1,Battery-Simulation,Tracking visible pulsed laser annealing of Hf0.5Zr0.5O2 heterostructures with in situ transmission electron microscopy,Aida Amini; Shruti Verma; Katharina Kohlmann; Sebastian Obernberger; Jean-Christof Lamanque; Andreas Rüdiger; Kenneth R. Beyerlein,2026-04-29T14:22:49Z,https://arxiv.org/abs/2604.26718v1
2604.26697v1,Battery-Simulation,Predicting massive helium-3 release from metal tritides using simple mechanical modeling,Berengere Evin; Dorian Gaboriau; Mathieu Segard; Sylvain Challet; Arnaud Fabre; Stephanie Thiebaut,2026-04-29T14:03:22Z,https://arxiv.org/abs/2604.26697v1
2604.26551v1,Battery-Simulation,aim2dat: A Python infrastructure for automated ab initio material modeling and data analysis,Holger-Dietrich Saßnick; Joshua Edzards; Timo Reents; Caterina Cocchi,2026-04-29T11:33:41Z,https://arxiv.org/abs/2604.26551v1
2604.26545v1,Battery-Simulation,Physics-based modeling of cyclic and calendar aging of LIBs with Si-Gr composite anodes,Micha C. J. Philipp; Lukas Köbbing; Alexander Karger; Andreas Jossen; Arnulf Latz; Birger Horstmann,2026-04-29T11:25:29Z,https://arxiv.org/abs/2604.26545v1
2604.26362v1,Battery-Simulation,Molecular Dynamics simulations of Al-Ti metallic alloy melts using a transferable machine-learning potential,Yuna Kato; Jürgen Brillo; Dirk Holland-Moritz; Fan Yang; Thomas C. Hansen; Thomas Voigtmann; Linnea Heitmeier,2026-04-29T07:17:17Z,https://arxiv.org/abs/2604.26362v1
2604.26309v1,Battery-Simulation,Turing patterns on non-fluctuating surfaces under mechanical stresses,Fumitake Kato; Hiroshi Koibuchi; Madoka Nakayama; Sohei Tasaki; Tetsuya Uchimoto,2026-04-29T05:24:52Z,https://arxiv.org/abs/2604.26309v1
2604.26300v1,Battery-Simulation,Strain and Twist Engineering of Interfacial Thermal Transport in Homo- and Hetero-Interfaces of Graphene and Hexagonal Boron Nitride,Wenwu Jiang; Huasong Qin; Yilun Liu; Wengen Ouyang; Oded Hod; Michael Urbakh,2026-04-29T04:58:38Z,https://arxiv.org/abs/2604.26300v1
2604.26264v1,Battery-Simulation,Accelerated Prediction of Surface Stability and Particle Morphology in Ionic Crystals via Electrostatic Screening,Sourav Baiju; Payam Kaghazchi,2026-04-29T03:47:58Z,https://arxiv.org/abs/2604.26264v1
2604.26222v1,Battery-Simulation,All-organic self-separating three-dimensionally nanoarchitected electrochemical energy storage devices,William R. T. Tait; Sriram Murali; Chao-Hua Hsu; Jantakan Nedsaengtip; Christina Lee; R. Paxton Thedford; Vibha Kalra; Joerg G. Werner; Ulrich B. Wiesner,2026-04-29T02:00:38Z,https://arxiv.org/abs/2604.26222v1
2604.26143v1,Battery-Simulation,Mixture of Experts Framework in Machine Learning Interatomic Potentials for Atomistic Simulations,Gabriel de Miranda Nascimento; Marc L. Descoteaux; Laura Zichi; Chuin Wei Tan; William C. Witt; Nicola Molinari; Sriteja Mantha; Daniil Kitchaev; Mordechai Kornbluth; Karim Gadelrab; Charles Tuffile; Boris Kozinsky,2026-04-28T22:04:05Z,https://arxiv.org/abs/2604.26143v1
2604.26108v1,Battery-Simulation,Implementation of the hybrid exchange-correlation functionals in the SIESTA code,Yann Pouillon; Bill Clintone Oyomo; James Sifuna; María Camarasa-Gómez; Xinming Qin; Carlos Beltrán; Fernando Gómez-Ortiz; Honghui Shang; Javier Junquera,2026-04-28T20:47:51Z,https://arxiv.org/abs/2604.26108v1
2604.26100v1,Battery-Simulation,Hidden Crossover and Relaxor-Like Response from Emerging Polar Skyrmion Correlations in Ferroelectric Superlattices,Zhiyang Wang; Fei Yang; Long-Qing Chen,2026-04-28T20:31:27Z,https://arxiv.org/abs/2604.26100v1
2604.26037v1,Battery-Simulation,Accelerating finite-element-based projector augmented-wave density functional theory calculations with scalable GPU-centric computational methods,Kartick Ramakrishnan; Phani Motamarri,2026-04-28T18:18:59Z,https://arxiv.org/abs/2604.26037v1
2604.25756v1,Battery-Simulation,Predicting challenging phase transitions with Bayesian active learning,Lorenzo Bastonero; Gabriel Joalland; Chiara Cignarella; Lorenzo Monacelli; Nicola Marzari,2026-04-28T15:19:43Z,https://arxiv.org/abs/2604.25756v1
2604.25718v1,Battery-Simulation,Chemical transformation of MgH2/V2O5 composite to Mg-V-O rock salt and its influence on the electrochemical Li conversion and hydrogen storage characteristics of MgH2,D. Pukazhselvan; Ihsan Caha; Francisco J. A. Loureiro; Francis Leonard Deepak; Catarina de Lemos; Aliaksandr L. Shaula; Sergey M. Mikhalev; Duncan Paul Fagg,2026-04-28T14:44:09Z,https://arxiv.org/abs/2604.25718v1
2604.25706v1,Battery-Simulation,Validity of DFT+U band gaps in all its known functional forms,Andrew C. Burgess; David D. O'Regan,2026-04-28T14:34:05Z,https://arxiv.org/abs/2604.25706v1
2604.25497v1,Battery-Simulation,Fundamental picture of the conduction mechanism in solid-state polymer electrolytes revealed by terahertz spectroscopy,Johanna Weidelt; Jijeesh Ravi Nair; Diddo Diddens; Wentao Zhang; Felix Pfeiffer; Tiago de Oliveira Schneider; Markus Meinert; Tomoki Hiraoka; Linda Nesterov; Masoud Baghernejad; Dmitry Turchinovich; Hassan A. Hafez,2026-04-28T10:58:28Z,https://arxiv.org/abs/2604.25497v1
2604.25483v1,Battery-Simulation,Probing sliding ferroelectricity in bilayer T$_\mathrm{d}$-WTe$_2$ with high-harmonic generation,Elias Greil; Alba de las Heras; Angel Rubio; Anna Galler,2026-04-28T10:41:08Z,https://arxiv.org/abs/2604.25483v1
2604.25454v1,Battery-Simulation,Thermodynamic surface reconstruction governs catalytic behavior in high-entropy alloys,Taegyeong Kim; Youngtak Kim; Sathya Sheela Subramanian; Geun Ho Gu,2026-04-28T10:02:35Z,https://arxiv.org/abs/2604.25454v1
2604.25343v1,Battery-Simulation,Proximity Ferroelectricity Driven by Mobile High-Miller-Index Domain Walls,Changming Ke; Shi Liu,2026-04-28T07:58:19Z,https://arxiv.org/abs/2604.25343v1
2604.25262v1,Battery-Simulation,Benchmarking Universal Machine-Learned Interatomic Potentials for High-Temperature Metal-Organic Framework Chemistry,Connor W. Edwards; Jack D. Evans,2026-04-28T06:11:25Z,https://arxiv.org/abs/2604.25262v1
2604.26510v1,Battery-Simulation,Influence of a graphene substrate on the stabilization of molecular systems with hydrogen bonds,Alexander V. Savin,2026-04-29T10:19:31Z,https://arxiv.org/abs/2604.26510v1
2604.25871v1,Battery-Simulation,3D integration of a hybrid quantum dot circuit-QED device for fast gate dispersive charge readout and coherent spin-photon coupling,Sebastien Granel; Frederic Gustavo; Jean-Luc Thomassin; Heimanu Niebojewski; Benoit Bertrand; Frederic Berger; Alain Gueugnot; Chafik Mhamdi; Etienne Dumur; Romain Maurand; Simon Zihlmann,2026-04-28T17:08:34Z,https://arxiv.org/abs/2604.25871v1
2604.25519v1,Battery-Simulation,Temporal hopping dynamics in exciton-polariton condensation,Elena Rozas; Wojciech Bukalski; Yannik Brune; Adbhut Gupta; Kirk Baldwin; Loren N. Pfeiffer; Hassan Alnatah; Jonathan Beaumariage; David W. Snoke; Paolo Comaron; Marzena H. Szymanska; Marc Aßmann,2026-04-28T11:34:54Z,https://arxiv.org/abs/2604.25519v1
